x0,x1,label
2.3372195,-24.051722,Anjunabeats
2.113962,-24.363457,Anjunabeats
-52.173405,-0.956447,Anjunabeats
-21.416286,-61.52463,Anjunabeats
-22.461853,-60.749695,Anjunabeats
-29.16972,-49.509068,Anjunabeats
-31.595396,-35.333153,Anjunabeats
-30.467365,-35.639412,Anjunabeats
3.2306027,-23.859554,Anjunabeats
13.344324,10.172042,FSOE
10.31874,-1.827526,FSOE
10.769792,28.311031,FSOE
-2.1918974,49.012695,FSOE
23.433905,47.38967,FSOE
29.128355,49.738224,FSOE
28.822683,49.508797,FSOE
28.398363,50.258797,FSOE
10.534219,15.785367,FSOE
-32.2526,-41.760487,Anjunabeats
9.920271,-27.091864,Anjunabeats
6.485899,-24.919746,Anjunabeats
-2.1134505,-24.33932,Anjunabeats
-7.986214,-28.588047,Anjunabeats
-6.3239527,-38.55116,Anjunabeats
-11.468544,-42.88255,Anjunabeats
-22.543207,-65.52911,Anjunabeats
-20.335747,-66.678856,Anjunabeats
-28.443224,-2.814385,FSOE
4.3967886,-25.836796,FSOE
-5.794512,-23.486296,FSOE
-13.681385,-28.340384,FSOE
11.705926,9.716948,FSOE
20.499048,-0.4743526,FSOE
-23.140778,24.776052,FSOE
-13.49489,28.21012,FSOE
3.7325523,47.45031,FSOE
5.894158,14.297728,Coldharbour
12.111245,26.836031,Coldharbour
2.711697,15.74783,Coldharbour
3.665069,29.858807,Coldharbour
-2.7793427,29.557673,Coldharbour
2.5277126,30.765886,Coldharbour
8.388399,47.49073,Coldharbour
12.163634,48.923862,Coldharbour
-19.422113,37.1279,Coldharbour
5.596998,8.253008,Anjunabeats
-1.8667829,4.408206,Anjunabeats
-37.15777,11.562172,Anjunabeats
-36.222805,-50.03434,Anjunabeats
-23.620739,-58.31635,Anjunabeats
-23.19214,-58.56652,Anjunabeats
-23.936043,-57.3539,Anjunabeats
-9.934853,-33.44195,Anjunabeats
21.621304,-18.053888,Anjunabeats
5.5838084,-22.607948,Anjunabeats
-1.2160888,-25.672516,Anjunabeats
-1.4924204,-16.45975,Anjunabeats
16.008247,-44.14321,Anjunabeats
-20.908524,-45.5448,Anjunabeats
-4.2131357,-7.330915,Anjunabeats
14.83625,-43.56551,Anjunabeats
10.459397,-43.914368,Anjunabeats
-12.157571,-53.236034,Anjunabeats
18.726679,23.91523,FSOE
16.887056,23.133875,FSOE
17.3444,14.248541,FSOE
16.237764,23.594746,FSOE
31.215181,24.462732,FSOE
23.50769,54.696938,FSOE
18.1533,34.19946,FSOE
19.39662,46.04639,FSOE
24.52109,53.92044,FSOE
21.794561,35.985428,FSOE
21.684061,36.539516,FSOE
22.508911,35.442265,FSOE
27.65491,11.639951,FSOE
25.132969,-28.571342,FSOE
-11.146374,16.719368,FSOE
22.96075,21.738205,FSOE
38.20238,44.826862,FSOE
-0.521767,26.460785,FSOE
-26.687712,-4.6596527,Coldharbour
-20.925407,-7.1355987,Coldharbour
-38.133736,-15.995675,Coldharbour
-36.915295,-13.262535,Coldharbour
-35.201897,-15.79426,Coldharbour
-39.06659,-7.8970532,Coldharbour
-38.839016,-8.427573,Coldharbour
-46.01373,-2.644619,Coldharbour
-13.576582,-12.706699,Coldharbour
-33.296227,-31.590416,Anjunabeats
-4.3738246,-34.191124,Anjunabeats
-0.6674096,-38.26867,Anjunabeats
-34.00202,-46.469692,Anjunabeats
-31.604345,-45.285187,Anjunabeats
-21.163982,-49.297554,Anjunabeats
-22.606535,-44.619736,Anjunabeats
-13.804935,-48.676495,Anjunabeats
-13.291054,-55.338383,Anjunabeats
27.784895,13.481357,WAO138
18.091507,0.5784141,WAO138
3.7857342,7.9097867,WAO138
20.351683,1.4759034,WAO138
33.354218,19.098778,WAO138
37.61873,34.07336,WAO138
31.745716,41.42449,WAO138
29.926416,51.61067,WAO138
33.95398,39.145157,WAO138
24.216196,-4.072381,WAO138
-18.923117,-34.87257,WAO138
-16.750505,-25.690313,WAO138
-38.38364,17.824984,WAO138
41.702827,-2.8249986,WAO138
42.387657,-2.181511,WAO138
37.966404,-0.6166884,WAO138
44.21616,-3.5812936,WAO138
41.14071,-1.6868622,WAO138
-27.213055,-4.085253,Coldharbour
-16.193512,-13.696874,Coldharbour
